Population,State,County,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),Households,Total County Carbon Footprint (tCO2e/yr)
49628,AK,KENAI PENINSULA ,7704.02935,54805.11117,215.4039902,23087.57365,16.03106643,14.92495814,7.881674256,5.502400153,6.17113264,50.51123161,24252.0,1224998.389
4154,AK,SOUTHEAST FAIRBANKS ,6809.794079,23671.49647,435.5343379,23497.20366,16.05533835,14.87727578,8.600784786,5.331757465,5.835624529,50.70078091,2056.0,104240.8055
13911,AK,KODIAK ISLAND ,6170.765226,22456.36138,616.8996065,23419.17871,16.44832297,13.95390184,9.20892603,6.178189515,6.893662945,52.6830033,4963.0,261465.7454
81754,AK,FAIRBANKS NORTH STAR ,6103.671266,23899.14805,489.5284746,24638.02027,17.07582136,15.31085344,8.182613572,5.727676231,6.429453318,52.72641792,33051.0,1742660.839
260029,AK,ANCHORAGE ,8207.117966,88744.54444,6.896634042,23936.90848,16.98260056,15.24508746,8.136007061,6.246045934,7.137288744,53.74702975,100459.0,5399372.862
59163,AK,MATANUSKA SUSITNA ,8739.038518,70573.60349,142.0728046,29361.93067,20.01346576,16.03887709,8.550183561,5.871286767,6.571682123,57.0454953,26664.0,1521061.087
14387,AL,SUMTER ,12666.66874,28414.50894,5.759866799,18175.2911,11.90031114,13.92156496,7.659521095,3.717110191,3.782095999,40.98060339,6654.0,272684.935
13563,AL,WILCOX ,12846.45386,26872.57579,9.732554572,18756.38258,12.16788462,14.07690524,8.166374696,3.684041111,3.676966714,41.77217238,6293.0,262872.2808
22987,AL,MACON ,12982.50172,34663.88059,1.364949251,18269.19515,12.12704977,14.57871766,7.256922608,3.857348334,4.041544673,41.86158305,10104.0,422969.4351
9809,AL,GREENE ,13156.866,29871.71276,4.038631449,18820.89408,12.35480496,14.40101252,7.533290855,3.740605036,3.85119015,41.88090352,5029.0,210619.0638
12701,AL,BULLOCK ,12493.39656,28330.36545,1.333241344,19186.52531,12.5897881,13.79905668,7.743559562,3.857749296,3.952912914,41.94306655,5166.0,216677.8818
9830,AL,PERRY ,13879.56136,32364.24263,2.694222146,18225.75636,11.91196182,15.06038563,7.986579858,3.730138112,3.775310287,42.4643757,4266.0,181153.0268
30485,AL,PIKE ,11983.45025,27025.5903,2.522237881,21058.93069,13.98275103,13.33266123,7.152429063,4.053858416,4.320349917,42.84204966,14435.0,618424.9869
27630,AL,BARBOUR ,12508.1785,27275.48656,1.188267029,20836.03992,13.79117789,13.75383631,7.59902063,4.082461799,4.295042786,43.52153942,11744.0,511116.959
48892,AL,RUSSELL ,12328.21084,28993.40003,1.644251811,20673.79735,13.84249949,13.68897456,7.513085576,4.295576531,4.596533739,43.9366699,26673.0,1171922.796
13892,AL,CONECUH ,13814.48886,28255.9746,0.573740289,21170.67535,13.90556448,14.78986899,7.332304924,3.878377946,4.052903721,43.95902006,7000.0,307713.1404
48283,AL,DALLAS ,13966.84825,34895.675,1.020383792,19348.68001,12.80207588,15.31741746,7.747766709,4.011869434,4.173933801,44.05306328,21280.0,937449.1866
21281,AL,BUTLER ,13423.353,28556.09585,0.0,21187.36718,13.99061554,14.51706556,7.51280297,4.035929233,4.243367035,44.29978034,10028.0,444238.1972
12217,AL,LOWNDES ,13512.98221,27473.05514,2.25206531,21146.87951,13.85327237,14.546334,8.153264304,4.009234313,4.123455967,44.68556096,5322.0,237816.5554
113557,AL,LEE ,11882.26784,28456.71253,0.941547904,22894.77943,15.31732471,13.28313886,7.323928952,4.424579657,4.794325652,45.14329783,67911.0,3065726.499
